Company Name,Current Year,Years_to_Bankrupt,Bankruptcy,"Total Revenue [CY 2005] ($USDmm, Historical rate)","Gross Profit [CY 2005] ($USDmm, Historical rate)","Net Income [CY 2005] ($USDmm, Historical rate)",EBITDA,"Total Current Assets [CY 2005] ($USDmm, Historical rate)","Total Assets [CY 2005] ($USDmm, Historical rate)","Total Current Liabilities [CY 2005] ($USDmm, Historical rate)","Cash from Ops. [CY 2005] ($USDmm, Historical rate)",Net_Debt_EBITDA,Profit_Margin,Net Debt,Net Workng Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,"Market Capitalization [My Setting] [1/31/2005] ($USDmm, Historical rate)","Market Capitalization [My Setting] [01/31/2006] ($USDmm, Historical rate)"
"Calavo Growers, Inc. (NasdaqGS:CVGW)",2005,16.0,0.0,261.8,23.2,4.2,7.6,45.6,108.0,30.6,1.3,2.7,0.0,20.6,15.0,1.5,15.7,139.8,150.3
Softchoice Corporation,2005,16.0,0.0,639.5,81.2,13.1,25.7,148.7,173.5,127.9,4.0,0.3,0.0,6.6,20.8,1.2,1.6,115.0,150.4
"Official Payments Holdings, Inc.",2005,16.0,0.0,158.7,48.9,3.7,9.2,95.1,180.4,34.5,13.0,0.0,0.0,0.0,60.6,2.8,0.0,161.5,151.2
"Sterling Construction Company, Inc. (NasdaqGS:STRL)",2005,16.0,0.0,219.4,23.8,11.1,19.7,73.6,118.5,55.3,31.0,0.0,0.1,0.9,18.3,1.3,0.0,31.7,152.0
"ProPhase Labs, Inc. (NasdaqCM:PRPH)",2005,16.0,0.0,53.7,27.8,3.2,4.4,30.2,36.0,9.6,4.3,0.0,0.1,0.0,20.6,3.2,0.0,94.4,152.9
"New Frontier Media, Inc.",2005,16.0,0.0,44.7,30.3,10.4,15.7,48.7,70.3,6.6,11.6,0.0,0.2,0.0,42.1,7.4,0.0,222.5,152.9
Libbey Inc.,2005,16.0,0.0,570.1,88.5,-19.4,50.0,223.9,595.8,121.5,38.1,5.2,0.0,258.5,102.4,1.8,6.8,330.6,152.9
Buhler Industries Inc. (TSX:BUI),2005,16.0,0.0,168.1,33.3,8.3,15.7,143.8,181.0,76.4,-27.1,4.3,0.0,68.0,67.4,1.9,-2.5,147.2,153.0
"UMH Properties, Inc. (NYSE:UMH)",2005,16.0,0.0,39.3,17.6,7.0,12.8,26.5,114.8,10.7,3.0,4.1,0.2,52.0,15.8,2.5,17.1,138.0,153.2
"CCUR Holdings, Inc. (OTCPK:CCUR)",2005,16.0,0.0,76.4,40.3,-5.1,0.0,41.4,74.3,20.4,-4.2,0.0,-0.1,0.0,21.0,2.0,0.0,133.9,153.3
"Tollgrade Communications, Inc.",2005,16.0,0.0,66.3,38.1,3.5,10.1,91.4,163.3,10.6,16.5,0.0,0.1,0.0,80.8,8.6,0.0,135.3,153.6
Ag Growth International Inc. (TSX:AFN),2005,16.0,0.0,72.1,33.4,16.9,19.9,31.9,123.8,11.6,18.3,0.5,0.2,10.2,20.3,2.8,0.6,81.1,153.7
"Clinical Data, Inc.",2005,16.0,0.0,54.5,20.1,-41.7,2.9,48.4,120.6,37.1,3.0,0.3,-0.8,0.8,11.3,1.3,0.3,57.3,154.2
Furmanite LLC,2005,16.0,0.0,153.9,53.6,-4.3,1.9,101.2,136.5,44.1,0.0,5.8,0.0,10.7,57.1,2.3,1334.3,94.2,154.2
"Ultra Clean Holdings, Inc. (NasdaqGS:UCTT)",2005,16.0,0.0,147.5,20.1,2.0,4.7,53.3,75.0,19.4,-3.2,0.0,0.0,0.0,33.9,2.7,0.0,98.7,154.5
Genesis Land Development Corp. (TSX:GDC),2005,16.0,0.0,30.6,14.2,7.9,10.5,130.8,137.5,18.0,-5.6,3.3,0.3,34.4,112.8,7.3,-6.2,93.7,154.8
Huntingdon Capital Corp,2005,16.0,0.0,15.8,8.7,0.4,5.9,25.6,258.3,3.9,5.7,16.5,0.0,96.5,21.7,6.6,16.9,,155.0
"Hallmark Financial Services, Inc. (NasdaqGM:HALL)",2005,16.0,0.0,87.0,53.3,9.2,15.1,105.6,208.9,59.5,29.7,0.0,0.1,0.0,46.1,1.8,0.0,41.9,155.4
ProspEx Resources Ltd.,2005,16.0,0.0,25.6,22.1,11.0,18.8,11.4,103.8,25.9,21.9,0.0,0.4,0.9,-14.5,0.4,0.0,0.0,155.8
Monmouth Real Estate Investment Corporation (NYSE:MNR),2005,16.0,0.0,24.9,18.8,8.4,17.6,5.0,235.3,1.7,12.4,7.1,0.3,124.4,3.3,2.9,10.0,147.8,155.9
CPI Corp.,2005,8.0,1.0,292.0,259.3,8.9,36.2,69.6,123.7,56.1,18.7,0.0,0.0,0.0,13.5,1.2,0.0,112.9,156.7
CPI Corp.,2005,8.0,1.0,292.0,259.3,8.9,36.2,69.6,123.7,56.1,18.7,0.0,0.0,0.0,13.5,1.2,0.0,112.9,156.7
"Comstock Holding Companies, Inc. (NasdaqCM:CHCI)",2005,16.0,0.0,224.3,67.8,27.6,43.8,423.5,431.3,59.1,-131.1,2.3,0.1,101.6,364.4,7.2,-0.8,264.1,156.9
TWC Enterprises Limited (TSX:TWC),2005,16.0,0.0,35.6,15.7,10.5,15.7,28.5,133.3,32.2,13.5,0.7,0.3,10.8,-3.7,0.9,0.8,132.8,157.1
Intersections Inc.,2005,16.0,0.0,165.2,107.8,12.5,27.0,78.3,123.2,25.8,17.6,0.0,0.1,0.0,52.5,3.0,0.0,258.3,157.5
Strattec Security Corporation (NasdaqGM:STRT),2005,16.0,0.0,185.4,38.8,11.4,21.3,99.3,133.0,24.8,16.8,0.0,0.1,0.0,74.5,4.0,0.0,219.6,158.0
Badger Daylighting Ltd. (TSX:BAD),2005,16.0,0.0,71.5,26.6,12.7,21.3,19.2,64.0,12.2,22.3,0.1,0.2,2.9,7.0,1.6,0.1,146.6,158.1
Nu Horizons Electronics Corp.,2005,16.0,0.0,511.4,82.2,2.9,8.9,203.4,210.8,35.5,-3.5,3.0,0.0,26.5,167.9,5.7,-7.5,127.7,158.4
Cascade Microtech Inc.,2005,16.0,0.0,73.6,34.2,8.3,9.1,82.1,90.1,7.5,5.9,0.0,0.1,0.0,74.6,10.9,0.0,114.8,159.1
Hardinge Inc.,2005,16.0,0.0,289.9,90.3,7.0,23.9,202.9,300.3,76.5,-5.8,2.5,0.0,60.7,126.4,2.7,-10.4,121.6,159.1
Clairvest Group Inc. (TSX:CVG),2005,16.0,0.0,17.2,17.2,4.6,10.0,76.2,235.7,13.0,24.2,0.0,0.3,0.0,63.2,5.9,0.0,151.8,159.5
Mac-Gray Corp.,2005,16.0,0.0,260.6,82.4,12.1,52.1,38.5,324.9,40.2,37.8,3.0,0.0,156.8,-1.7,1.0,4.1,99.4,160.1
mdf commerce inc. (TSX:MDF),2005,16.0,0.0,41.6,34.8,8.2,15.8,56.5,88.2,13.4,13.1,0.0,0.2,0.0,43.1,4.2,0.0,143.5,160.1
Angelica Corporation,2005,12.0,1.0,418.4,54.1,0.2,19.7,109.9,331.4,81.4,21.4,4.1,0.0,81.2,28.5,1.4,3.8,258.4,160.4
Landec Corporation (NasdaqGS:LNDC),2005,16.0,0.0,211.1,33.9,5.3,9.2,48.9,109.9,34.6,5.0,0.3,0.0,3.0,14.3,1.4,0.6,162.5,160.6
Imperial Metals Corporation (TSX:III),2005,16.0,0.0,60.8,14.0,18.5,12.2,35.0,116.2,51.2,-12.6,4.4,0.3,53.4,-16.2,0.7,-4.2,172.1,161.2
Aldila Inc.,2005,16.0,0.0,77.0,29.6,13.4,21.1,38.3,48.1,9.5,10.4,0.0,0.2,0.0,28.8,4.0,0.0,72.5,161.8
"KVH Industries, Inc. (NasdaqGS:KVHI)",2005,16.0,0.0,71.3,29.7,2.9,4.3,70.2,82.3,8.6,6.0,0.0,0.0,0.0,61.6,8.2,0.0,146.4,161.8
Johnson Outdoors Inc. (NasdaqGS:JOUT),2005,16.0,0.0,378.3,155.5,7.0,24.9,184.9,286.2,91.7,21.7,0.8,0.0,20.6,93.2,2.0,0.9,178.5,162.2
Kaspien Holdings Inc. (NasdaqCM:KSPN),2005,16.0,0.0,1238.5,431.6,0.6,42.1,626.8,799.7,353.2,25.2,0.0,0.0,0.0,273.6,1.8,0.0,419.0,162.3
"Vigor Shipyards, Inc.",2005,16.0,0.0,213.2,58.1,12.4,20.3,76.3,146.9,25.8,19.2,0.0,0.1,0.0,50.5,3.0,0.0,92.5,162.7
Medical Staffing Network Holdings Inc.,2005,5.0,1.0,402.5,88.2,-0.8,7.1,62.4,204.9,20.6,12.9,3.5,0.0,25.0,41.8,3.0,1.9,209.2,163.0
L.B. Foster Company (NasdaqGS:FSTR),2005,16.0,0.0,326.0,36.8,5.4,13.0,121.0,178.9,64.0,-3.9,2.7,0.0,35.4,57.0,1.9,-9.2,92.3,163.4
"Cal-Maine Foods, Inc. (NasdaqGS:CALM)",2005,16.0,0.0,400.6,38.5,-12.9,3.5,133.1,325.9,72.9,-4.6,25.9,0.0,89.6,60.2,1.8,-19.7,278.0,163.4
Leader Energy Services Ltd.,2005,16.0,0.0,15.9,6.2,1.3,2.7,23.8,46.6,5.0,2.6,0.0,0.1,0.0,18.8,4.8,0.0,6.7,164.6
"The Dixie Group, Inc. (NasdaqGM:DXYN)",2005,16.0,0.0,318.5,96.5,10.1,29.7,116.2,278.1,40.7,5.0,3.2,0.0,96.2,75.5,2.9,19.2,219.9,164.6
"Speed Commerce, Inc. (OTCPK:SPDC)",2005,16.0,0.0,656.3,106.2,-7.6,10.2,208.5,355.9,149.9,11.2,10.1,0.0,103.0,58.6,1.4,9.2,334.1,164.7
"United States Lime & Minerals, Inc. (NasdaqGS:USLM)",2005,16.0,0.0,81.1,27.2,8.0,22.0,22.0,123.0,11.5,17.2,2.4,0.1,53.7,10.5,1.9,3.1,73.0,164.8
"Web.com Group, Inc.",2005,16.0,0.0,37.8,20.6,0.8,2.2,59.1,76.4,7.6,3.9,0.0,0.0,0.0,51.5,7.8,0.0,,165.0
"Unifi, Inc. (NYSE:UFI)",2005,16.0,0.0,782.3,28.2,-17.8,26.9,311.7,800.4,105.3,51.6,6.9,0.0,184.8,206.4,3.0,3.6,172.5,165.3
"WaterFurnace Renewable Energy, Inc.",2005,16.0,0.0,71.5,23.4,6.0,10.1,24.0,29.1,9.2,7.1,0.0,0.1,0.0,14.8,2.6,0.0,78.8,165.4
Nutraceutical International Corporation,2005,16.0,0.0,149.6,77.3,13.2,26.3,45.8,105.6,18.3,19.8,0.0,0.1,0.0,27.5,2.5,0.0,173.5,165.5
"Twin Disc, Incorporated (NasdaqGS:TWIN)",2005,16.0,0.0,225.0,62.3,9.7,22.6,109.3,184.3,53.7,11.4,0.6,0.0,13.8,55.6,2.0,1.2,77.9,165.7
Ediets.com Inc.,2005,16.0,0.0,52.6,45.2,1.3,2.8,11.4,20.6,10.3,-0.2,0.0,0.0,0.0,1.1,1.1,0.0,90.6,165.7
NovaMed Inc.,2005,16.0,0.0,78.4,34.2,5.6,18.7,17.5,97.2,10.8,11.8,0.9,0.1,17.2,6.7,1.6,1.5,150.4,165.7
HMS Holdings Corp. (NasdaqGS:HMSY),2005,16.0,0.0,60.0,7.6,8.0,9.9,65.9,87.6,12.3,10.5,0.0,0.1,0.0,53.6,5.4,0.0,150.3,165.8
"AmeriTrust Group, Inc.",2005,16.0,0.0,304.0,108.0,17.9,32.2,375.0,901.3,196.6,81.9,0.2,0.1,4.9,178.4,1.9,0.1,156.1,166.1
"American Software, Inc. (NasdaqGS:AMSW.A)",2005,16.0,0.0,74.8,39.2,4.4,7.4,76.6,107.5,24.8,9.4,0.0,0.1,0.0,51.8,3.1,0.0,155.0,166.3
"Napco Security Technologies, Inc. (NasdaqGS:NSSC)",2005,16.0,0.0,67.2,25.9,6.5,11.2,45.5,64.4,10.2,0.5,0.3,0.1,2.9,35.3,4.5,6.1,111.6,166.9
"Vertro, Inc.",2005,16.0,0.0,190.8,89.9,-130.2,11.8,70.3,190.8,38.9,1.7,0.0,-0.7,0.0,31.4,1.8,0.0,481.4,167.1
"Caribou Coffee Company, Inc.",2005,16.0,0.0,198.0,37.7,-4.9,16.1,49.8,148.0,36.7,22.2,0.0,0.0,0.0,13.1,1.4,0.0,,167.3
Omega Protein Corporation,2005,16.0,0.0,109.9,17.9,-7.2,18.3,98.4,200.2,19.3,-4.5,0.2,-0.1,3.7,79.1,5.1,-0.8,193.0,167.4
"Delta Apparel, Inc. (AMEX:DLA)",2005,16.0,0.0,242.8,68.5,14.4,25.0,154.3,196.5,43.3,16.8,2.5,0.1,61.5,111.0,3.6,3.7,115.9,167.8
International Architectural Group LLC,2005,6.0,1.0,263.1,60.4,14.3,27.8,107.6,158.5,25.8,19.8,0.0,0.1,0.0,81.8,4.2,0.0,137.0,168.8
"Live Microsystems, Inc. (OTCPK:LMSC)",2005,16.0,0.0,108.6,71.1,5.0,16.4,86.0,93.3,19.0,3.7,0.0,0.0,0.0,67.0,4.5,0.0,298.5,168.8
"Hawaiian Holdings, Inc. (NasdaqGS:HA)",2005,16.0,0.0,508.8,103.0,-12.4,21.8,287.6,666.5,277.8,57.9,0.0,0.0,0.0,9.8,1.0,0.0,188.9,169.2
Parkland Corporation (TSX:PKI),2005,16.0,0.0,751.1,44.3,21.4,31.5,54.1,114.1,52.3,28.3,0.2,0.0,7.1,1.8,1.0,0.3,133.8,169.3
Stratus Properties Inc. (NasdaqGS:STRS),2005,16.0,0.0,35.2,14.1,8.5,9.1,15.4,173.9,22.2,37.4,5.3,0.2,47.9,-6.8,0.7,1.3,115.5,169.8
Quality Distribution Inc.,2005,16.0,0.0,678.1,101.0,11.9,58.5,120.7,382.4,70.3,9.0,5.0,0.0,290.7,50.4,1.7,32.2,165.3,169.8
Fundtech Ltd.,2005,16.0,0.0,74.5,43.9,4.3,8.7,69.5,105.8,19.6,10.3,0.0,0.1,0.0,49.9,3.5,0.0,125.1,169.9
REX American Resources Corporation (NYSE:REX),2005,16.0,0.0,244.8,71.1,28.3,10.4,135.3,295.1,47.3,19.0,0.2,0.1,2.5,88.0,2.9,0.1,161.1,169.9
Strongco Corporation,2005,16.0,0.0,354.2,62.4,14.1,19.4,125.1,146.9,90.1,8.3,3.1,0.0,60.7,35.0,1.4,7.3,55.7,170.4
Hoku Corporation (OTCPK:HOKU.Q),2005,8.0,1.0,6.9,5.8,2.2,1.9,23.6,30.0,3.5,1.2,0.0,0.3,0.0,20.1,6.8,0.0,,170.4
Hoku Corporation (OTCPK:HOKU.Q),2005,8.0,1.0,6.9,5.8,2.2,1.9,23.6,30.0,3.5,1.2,0.0,0.3,0.0,20.1,6.8,0.0,,170.4
Escalera Resources Co.,2005,10.0,1.0,18.0,14.2,4.0,10.5,5.9,44.2,8.7,10.3,0.1,0.2,1.6,-2.8,0.7,0.2,149.9,170.5
Escalera Resources Co.,2005,16.0,0.0,18.0,14.2,4.0,10.5,5.9,44.2,8.7,10.3,0.1,0.2,1.6,-2.8,0.7,0.2,149.9,170.5
Priszm Income Fund,2005,16.0,0.0,415.7,49.2,13.3,29.6,18.8,276.6,91.9,30.0,1.3,0.0,39.4,-73.1,0.2,1.3,236.8,170.7
Five Star Senior Living Inc. (NasdaqCM:FVE),2005,16.0,0.0,727.7,343.4,-84.2,17.6,94.1,228.9,90.0,-56.5,1.6,-0.1,28.3,4.1,1.0,-0.5,94.7,171.0
Newfoundland Capital Corporation Limited,2005,16.0,0.0,69.1,13.0,5.2,13.0,29.9,183.2,28.5,3.3,2.9,0.1,37.4,1.4,1.0,11.3,131.6,171.9
"Teledyne LeCroy, Inc.",2005,16.0,0.0,169.8,100.6,7.1,23.6,88.1,195.5,38.6,10.1,1.0,0.0,23.5,49.5,2.3,2.3,281.5,172.1
Catamaran Corporation,2005,16.0,0.0,54.1,32.5,7.7,11.2,47.6,81.3,10.3,11.8,0.0,0.1,0.0,37.3,4.6,0.0,55.1,172.4
PHX Minerals Inc. (NYSE:PHX),2005,16.0,0.0,35.7,30.8,12.9,26.3,11.9,67.7,6.4,18.3,0.1,0.4,1.4,5.5,1.9,0.1,95.1,172.4
Thomas Properties Group Inc.,2005,16.0,0.0,59.0,26.1,0.6,12.9,112.0,482.4,15.5,20.8,20.2,0.0,260.6,96.5,7.2,12.5,180.3,173.0
Internap Corporation,2005,16.0,0.0,153.7,61.1,-5.0,9.6,63.1,155.4,21.9,5.5,0.0,0.0,0.0,41.2,2.9,0.0,226.0,173.3
Aceto Corporation,2005,14.0,1.0,300.7,50.3,8.2,10.8,136.7,153.1,39.3,3.1,0.0,0.0,0.0,97.4,3.5,0.0,226.5,175.0
Aceto Corporation,2005,16.0,0.0,300.7,50.3,8.2,10.8,136.7,153.1,39.3,3.1,0.0,0.0,0.0,97.4,3.5,0.0,226.5,175.0
PrimeEnergy Resources Corporation (NasdaqCM:PNRG),2005,16.0,0.0,87.6,51.6,23.6,39.5,38.8,109.4,25.5,26.6,0.4,0.3,16.9,13.3,1.5,0.6,69.0,176.6
Brooke Corporation,2005,3.0,1.0,141.0,45.4,9.7,20.2,118.2,135.2,56.9,2.8,0.8,0.1,15.2,61.3,2.1,5.5,105.5,177.6
MDC Partners Inc. (NasdaqGS:MDCA),2005,16.0,0.0,349.8,148.4,-8.0,44.9,153.2,507.3,253.1,4.7,2.5,0.0,110.0,-99.9,0.6,23.6,243.3,177.9
CorVel Corporation (NasdaqGS:CRVL),2005,16.0,0.0,272.9,44.1,9.1,26.0,55.3,95.8,23.5,28.6,0.0,0.0,0.0,31.8,2.4,0.0,237.9,178.2
KGHM International Ltd.,2005,16.0,0.0,228.2,67.7,-13.4,60.4,76.2,250.6,107.4,9.4,0.7,-0.1,40.1,-31.2,0.7,4.3,132.5,178.4
"AMERISAFE, Inc. (NasdaqGS:AMSF)",2005,16.0,0.0,276.3,25.3,5.9,11.0,300.4,892.3,149.7,142.1,0.0,0.0,0.0,150.7,2.0,0.0,,178.4
Hooker Furniture Corporation (NasdaqGS:HOFT),2005,16.0,0.0,341.8,91.9,12.5,32.7,135.3,189.6,24.9,19.6,0.0,0.0,0.0,110.4,5.4,0.0,274.5,178.5
Ambassadors International Inc.,2005,6.0,1.0,26.9,22.4,3.1,1.3,119.2,134.8,25.6,4.1,0.0,0.1,0.0,93.6,4.7,0.0,148.0,178.7
Ambassadors International Inc.,2005,6.0,1.0,26.9,22.4,3.1,1.3,119.2,134.8,25.6,4.1,0.0,0.1,0.0,93.6,4.7,0.0,148.0,178.7
"Omega Flex, Inc. (NasdaqGM:OFLX)",2005,16.0,0.0,65.6,32.7,7.5,14.8,28.8,41.7,11.6,10.7,0.0,0.1,0.0,17.2,2.5,0.0,,179.0
"Cass Information Systems, Inc. (NasdaqGS:CASS)",2005,16.0,0.0,76.9,38.1,10.9,26.1,680.8,818.7,643.1,12.5,0.0,0.1,0.0,37.7,1.1,0.0,126.3,179.2
Multi-Color Corporation,2005,16.0,0.0,197.2,34.1,9.6,24.2,49.4,114.9,30.5,17.0,1.2,0.0,29.5,18.9,1.6,1.7,114.0,179.4
"Reading International, Inc. (NasdaqCM:RDI)",2005,16.0,0.0,98.1,23.3,1.0,5.3,15.7,253.1,30.0,2.6,19.0,0.0,99.9,-14.3,0.5,38.6,173.2,179.4
"Smith Micro Software, Inc. (NasdaqCM:SMSI)",2005,16.0,0.0,20.3,16.2,4.7,5.3,29.1,42.7,3.8,2.5,0.0,0.2,0.0,25.3,7.7,0.0,132.3,180.8
"Huttig Building Products, Inc. (NasdaqCM:HBP)",2005,16.0,0.0,1097.2,212.5,18.4,35.6,202.1,266.8,124.4,14.8,0.9,0.0,31.8,77.7,1.6,2.1,206.2,180.8
Aecon Group Inc. (TSX:ARE),2005,16.0,0.0,961.1,57.3,-1.0,14.7,293.8,432.8,245.9,-23.9,5.4,0.0,79.2,47.9,1.2,-3.3,154.6,181.3
"Hampshire Group, Limited",2005,11.0,1.0,322.4,77.5,11.4,15.7,129.3,142.5,36.5,14.9,0.0,0.0,0.0,92.8,3.5,0.0,146.6,181.5
"Hampshire Group, Limited",2005,16.0,0.0,322.4,77.5,11.4,15.7,129.3,142.5,36.5,14.9,0.0,0.0,0.0,92.8,3.5,0.0,146.6,181.5
"Sypris Solutions, Inc. (NasdaqGM:SYPR)",2005,16.0,0.0,522.8,51.3,5.3,38.1,213.2,417.6,101.5,72.6,1.8,0.0,67.8,111.7,2.1,0.9,207.7,181.5
"GAINSCO, Inc.",2005,16.0,0.0,99.6,6.8,8.9,5.6,115.7,212.4,58.3,12.0,0.0,0.1,0.0,57.4,2.0,0.0,33.0,181.8
"NCI, Inc.",2005,16.0,0.0,191.3,28.3,12.3,13.9,64.1,90.0,28.5,8.9,0.0,0.1,0.0,35.6,2.2,0.0,,182.0
Wall Financial Corporation (TSX:WFC),2005,16.0,0.0,148.7,34.5,19.5,31.1,9.6,353.7,15.5,-42.9,7.6,0.1,234.8,-5.9,0.6,-5.5,112.6,182.2
"Fuel Systems Solutions, Inc.",2005,16.0,0.0,174.5,40.8,-9.7,13.2,106.0,175.9,65.7,14.1,0.0,-0.1,0.0,40.3,1.6,0.0,109.3,183.8
SEMAFO Inc.,2005,16.0,0.0,58.8,16.8,-13.5,13.4,42.6,128.1,14.4,-9.6,0.0,-0.2,0.0,28.2,3.0,0.0,83.7,183.9
Chesapeake Utilities Corporation (NYSE:CPK),2005,16.0,0.0,229.5,34.5,10.5,32.2,88.8,296.0,102.5,13.6,3.0,0.0,96.9,-13.7,0.9,7.1,149.7,184.9
"Empire Resources, Inc.",2005,16.0,0.0,358.5,27.9,9.5,19.4,150.0,156.7,130.2,-36.6,4.4,0.0,85.6,19.8,1.2,-2.3,36.0,185.1
"PowerFleet, Inc. (NasdaqGM:PWFL)",2005,16.0,0.0,19.0,9.3,0.9,1.0,18.1,19.8,4.3,-4.1,0.0,0.0,0.0,13.9,4.3,0.0,109.1,186.3
"Dorman Products, Inc. (NasdaqGS:DORM)",2005,16.0,0.0,278.1,98.9,17.1,35.6,154.4,212.2,38.6,5.2,0.9,0.1,32.9,115.8,4.0,6.3,223.0,186.9
"Fuel Tech, Inc. (NasdaqCM:FTEK)",2005,16.0,0.0,52.9,25.8,7.6,8.9,34.1,44.1,14.5,11.5,0.0,0.1,0.0,19.6,2.4,0.0,101.5,188.1
Arbor Memorial Services Inc.,2005,16.0,0.0,175.8,38.9,15.2,35.0,62.3,907.4,24.5,23.8,2.4,0.1,85.4,37.8,2.5,3.6,168.1,188.2
"FRP Holdings, Inc. (NasdaqGS:FRPH)",2005,16.0,0.0,135.0,23.8,7.8,28.3,16.7,204.9,14.4,19.2,2.2,0.1,61.7,2.3,1.2,3.2,142.1,188.4
Neogen Corporation (NasdaqGS:NEOG),2005,16.0,0.0,65.4,33.3,6.6,11.5,33.5,69.3,6.5,6.1,0.0,0.1,0.0,27.0,5.2,0.0,156.7,188.4
StoneMor Inc. (NYSE:STON),2005,16.0,0.0,100.7,64.3,4.6,16.5,40.7,550.6,8.4,17.6,4.9,0.0,80.0,32.3,4.9,4.5,180.1,188.7
"Support.com, Inc. (NasdaqCM:SPRT)",2005,16.0,0.0,61.9,47.3,4.4,4.0,140.6,156.2,20.7,-0.8,0.0,0.1,0.0,119.9,6.8,0.0,261.4,188.9
Books-A-Million Inc.,2005,16.0,0.0,503.8,177.8,13.1,37.7,257.5,311.7,150.8,36.7,0.0,0.0,0.0,106.7,1.7,0.0,153.9,189.2
"Village Super Market, Inc. (NasdaqGS:VLGE.A)",2005,16.0,0.0,999.8,263.6,15.9,40.7,114.6,264.3,76.6,35.4,0.0,0.0,0.0,38.0,1.5,0.0,124.7,189.3
AMREP Corporation (NYSE:AXR),2005,16.0,0.0,136.2,38.7,20.4,27.3,132.1,175.3,46.2,16.0,0.0,0.1,0.0,85.9,2.9,0.0,154.8,189.5
Enghouse Systems Limited (TSX:ENGH),2005,16.0,0.0,46.7,31.1,6.5,8.2,91.1,133.7,31.2,9.3,0.0,0.1,0.0,59.9,2.9,0.0,174.4,189.5
Ampco-Pittsburgh Corporation (NYSE:AP),2005,16.0,0.0,247.0,49.7,15.0,18.9,141.6,241.9,54.0,11.0,0.0,0.1,0.0,87.6,2.6,0.0,132.6,189.9
"Empire Resorts, Inc.",2005,16.0,0.0,86.7,15.5,-18.5,2.2,16.2,57.2,19.5,-1.2,30.0,-0.2,65.4,-3.3,0.8,-54.0,270.4,190.4
"Sturm, Ruger & Company, Inc. (NYSE:RGR)",2005,16.0,0.0,154.7,29.9,0.9,7.3,101.9,139.6,18.4,5.3,0.0,0.0,0.0,83.5,5.5,0.0,231.2,190.5
"STEC, Inc.",2005,16.0,0.0,128.3,31.0,5.6,6.3,139.6,155.2,27.8,-6.4,0.0,0.0,0.0,111.8,5.0,0.0,188.5,191.1
Associated Estates Realty Corporation,2005,16.0,0.0,128.7,62.1,36.2,54.1,55.1,719.2,28.2,24.4,9.9,0.3,533.4,26.9,2.0,21.9,191.8,191.7
"EMS Technologies, Inc.",2005,16.0,0.0,225.9,78.9,-11.4,19.1,176.1,225.3,72.5,4.8,1.6,-0.1,30.6,103.6,2.4,6.3,172.0,191.8
The York Water Company (NasdaqGS:YORW),2005,16.0,0.0,26.8,21.5,5.8,15.2,5.1,172.3,24.7,8.5,3.9,0.2,59.4,-19.6,0.2,7.0,130.0,192.4
Taseko Mines Limited (TSX:TKO),2005,16.0,0.0,110.6,22.7,30.3,18.4,49.0,162.8,35.4,10.2,0.3,0.3,6.0,13.6,1.4,0.6,135.9,192.5
Park-Ohio Holdings Corp. (NasdaqGS:PKOH),2005,16.0,0.0,932.9,137.5,30.8,72.7,393.0,662.9,185.0,34.5,4.5,0.0,327.9,208.0,2.1,9.5,262.6,192.5
"TheStreet, Inc.",2005,16.0,0.0,33.7,21.0,0.2,5.4,37.7,43.1,15.6,1.2,0.0,0.0,0.0,22.1,2.4,0.0,112.2,192.7
Technicoil Corp.,2005,16.0,0.0,32.2,11.9,3.7,9.0,11.9,71.2,14.5,2.5,0.6,0.1,5.2,-2.6,0.8,2.1,166.8,192.7
Stoneham Drilling Trust,2005,16.0,0.0,34.8,14.7,9.2,12.3,43.6,94.0,8.6,6.4,0.0,0.3,0.0,35.0,5.1,0.0,73.2,192.9
"ATN International, Inc. (NasdaqGS:ATNI)",2005,16.0,0.0,102.3,91.7,13.8,54.5,48.7,233.8,31.1,32.1,0.5,0.1,27.3,17.6,1.6,0.8,160.4,193.6
Quaker Chemical Corporation (NYSE:KWR),2005,16.0,0.0,424.0,129.8,1.7,24.0,166.0,332.0,86.9,11.6,2.4,0.0,56.4,79.1,1.9,4.9,221.2,193.6
Vision Technology Corp. (OTCPK:VSTC.Q),2005,2.0,1.0,10.3,8.0,0.7,1.0,10.3,13.4,0.7,-6.6,0.0,0.1,0.0,9.6,13.8,0.0,,194.1
"Mission West Properties, Inc.",2005,16.0,0.0,115.9,97.3,10.0,76.5,67.4,1023.4,26.0,21.9,4.4,0.1,335.8,41.4,2.6,15.3,187.5,194.2
"Barnwell Industries, Inc. (AMEX:BRN)",2005,16.0,0.0,48.5,35.7,9.9,23.3,28.3,97.0,28.7,19.3,0.0,0.2,0.0,-0.4,1.0,0.0,103.7,194.5
The Hallwood Group Incorporated,2005,16.0,0.0,134.6,29.3,26.3,1.9,56.3,108.8,12.5,-1.5,0.0,0.2,0.0,43.8,4.5,0.0,141.2,194.5
Killam Apartment Real Estate Investment Trust (TSX:KMP.UN),2005,16.0,0.0,40.7,23.9,0.0,22.0,5.7,402.8,6.2,12.8,14.0,0.0,308.0,-0.5,0.9,24.1,131.1,194.6
"Perry Ellis International, Inc.",2005,16.0,0.0,849.4,262.5,22.7,66.6,304.6,570.0,76.0,80.5,3.7,0.0,249.1,228.6,4.0,3.1,199.5,194.7
